023,76123456789,72113214841,1993-04-05T13:38:33,1993-04-05T15:08:45
03,71123219841,79123219841,1993-04-05T13:43:09,1993-04-05T15:27:10
59,72113214841,71123219841,1993-04-05T14:06:22,1993-04-05T16:02:24
t,71123219841,76123456789,1993-04-05T14:48:20,1993-04-05T16:15:19
02y,76123456789,72113214841,1993-04-05T15:39:48,1993-04-05T15:56:47
w01,71123219841,72113214841,1993-04-05T16:38:12,1993-04-05T17:48:05
01 te,71123219841,79876543221,1993-04-05T17:17:55,1993-04-05T19:09:49
02$,71123219841,79876543221,1993-04-05T17:23:26,1993-04-05T19:01:18
?02,79876543221,79123219841,1993-04-05T17:32:04,1993-04-05T18:36:09
02.,79123219841,79876543221,1993-04-05T17:43:39,1993-04-05T19:36:40
