02,79876543221,71123219841,2003-01-11T00:03:56,2003-01-11T00:00:00
01,76123456789,79123219841,2003-01-11T00:54:01,2003-01-11T00:27:03
01,71123219841,79876543221,2003-01-11T02:03:14,2003-01-11T01:39:38
01,79876543221,71123219841,2003-01-11T02:56:01,2003-01-11T02:35:52
01,76123456789,79123219841,2003-01-11T03:26:22,2003-01-11T02:58:49
02,79876543221,71123219841,2003-01-11T04:18:36,2003-01-11T03:56:45
02,76123456789,72113214841,2003-01-11T04:59:31,2003-01-11T04:44:12
02,79876543221,72113214841,2003-01-11T06:50:10,2003-01-11T06:22:50
02,79876543221,76123456789,2003-01-11T08:33:53,2003-01-11T08:09:08
02,72113214841,79876543221,2003-01-11T23:59:59,2003-01-11T23:32:30
