01,78817127362,77746657997,2003-04-05T00:00:00,2003-04-05T00:53:19
02,75342073144,75749799593,2003-04-05T01:08:20,2003-04-05T01:42:04
02,76335958361,77838488974,2003-04-05T01:20:19,2003-04-05T01:34:10
01,74308094345,71927495450,2003-04-05T02:51:49,2003-04-05T02:54:31
01,76197894705,77610277832,2003-04-05T03:18:12,2003-04-05T04:27:16
01,71733484718,77823004719,2003-04-05T04:00:39,2003-04-05T05:27:15
02,73776394992,78507570488,2003-04-05T06:22:49,2003-04-05T07:46:53
01,77449212170,74702149967,2003-04-05T06:55:37,2003-04-05T07:31:57
01,77449212170,74702149967,2003-04-05T23:53:04,2003-04-05T23:59:59
01,77449212170,74702149967,2003-04-06T00:00:00,2003-04-06T00:52:11
